County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
Ulster,749980,Store,JAC,OX CARIBBEAN DELI LLC,,579,BROADWAY,,,KINGSTON,NY,12401,0,POINT (-74.00325 41.92908)
Rockland,749866,Store,JAC,JOTA MINI MART CORP,JOTA MINI MART,50,BROADWAY,,,HAVERSTRAW,NY,10927,0,POINT (-73.96482 41.19842)
Queens,749795,Store,A,SAF ENTERPRISE INC I,SAF ENTERPRISE,4220,BROADWAY,,,ASTORIA,NY,11103,0,POINT (-73.91674 40.75791)
Nassau,749789,Store,JAC,3 GOLDEN GUYS INC,3 GOLDEN GUYS,974,FULTON STREET,,,FARMINGDALE,NY,11735,0,POINT (-73.43565 40.72536)
Dutchess,749785,Store,JAC,CASA BLANCA FINEST DELI GROCERY C,CASA BLANCA FINEST DELI,386,MAIN STREET,,,POUGHKEEPSIE,NY,12601,5000,POINT (-73.92395 41.70227)
Kings,749756,Store,JAC,FRANTON FOOD CORP,FINE FARE SUPERMARKET,1498,FLATBUSH AVENUE,,,BROOKLYN,NY,11210,0,POINT (-73.94914 40.63424)
Kings,749752,Store,JAC,DILONE MINI MARKET INC,DILONE MINI MARKET,2837,FULTON STREET,,,BROOKLYN,NY,11207,0,POINT (-73.88972 40.67836)
Kings,749698,Store,JAC,JM DELI & GRILL INC,JM DELI & GRILL,282,BROADWAY,,,BROOKLYN,NY,11211,800,POINT (-73.95855 40.70865)
Rockland,749679,Store,JAC,CARIBBEAN ISLAND GROCERY INC,CARIBBEAN ISLAND GROCER,18,BROAD STREET,,,HAVERSTRAW,NY,10927,0,POINT (-73.96368 41.19744)
New York,749667,Store,JAC,JUICE NOW LLC,JUICE NOW,1646,MADISON AVENUE,,,NEW YORK,NY,10029,0,POINT (-73.94779 40.79597)
Orange,749662,Store,JAC,BUTCHER GR DELI AND GROCERY INC,BUTCHER SHOP/GROCERY,165,BROADWAY,,,NEWBURGH,NY,12550,1200,POINT (-74.01437 41.50024)
Kings,749611,Store,JAC,KINGS ECONOMIC FOOD MARKET INC,KINGS ECONOMIC FOOD MAR,9424,KINGS HIGHWAY,,,BROOKLYN,NY,11212,0,POINT (-73.92048 40.65848)
Kings,749607,Store,JAC,QUSAI DELI GROCERY CORP,QUSAI DELI GROCERY,874,BROADWAY,,,BROOKLYN,NY,11206,0,POINT (-73.93766 40.69833)
Onondaga,749603,Store,JAC,DIAMOND GROCERY SUPERMARKET CORP,DIAMOND GROCERY SUPERMA,1701,COURT STREET,,,SYRACUSE,NY,13208,0,POINT (-76.14443 43.07944)
Queens,749599,Store,JAC,82ND CONVENIENCE STORE CORP,82ND CONVENIENCE STORE,82-02,ROOSEVELT AVENUE,,,JACKSON HEIGHTS,NY,11372,0,POINT (-73.88371 40.74765)
New York,749582,Store,JAC,BAD BUNNY DELI GROCERY CORP,BAD BUNNY DELI GROCERY,1870,LEXINGTON AVENUE,,,NEW YORK,NY,10029,0,POINT (-73.9418 40.79838)
New York,749577,Store,JAC,M&G FRESH PRODUCE CORP,M&G FRESH PRODUCE,3347,BROADWAY,,,NEW YORK,NY,10031,0,POINT (-73.9549 40.82051)
Kings,749539,Store,JAC,GOLDEN DRAGON MARKET CORP,GOLDEN DRAGON MARKET,2223,86TH STREET,,,BROOKLYN,NY,11214,1400,POINT (-73.99317 40.60151)
New York,749520,Store,JAC,CHOP CHEESE DELI 2 CORP,CHOP CHEESE DELI,3879,BROADWAY,,,NEW YORK,NY,10032,0,POINT (-73.94259 40.83733)
Queens,749450,Store,JAC,A & V MINI MARKET CORP,A & V MINI MARKET,98-02,37TH AVENUE,,,CORONA,NY,11368,1000,POINT (-73.8689 40.75208)
Bronx,749387,Store,JAC,MAHADAV ENTERPRISES INC,238 CORNER STORE,5818,BROADWAY,,,BRONX,NY,10463,0,POINT (-73.9007 40.88511)
Bronx,749372,Store,JAC,UVERAL MEAT MARKET & GROCERY CORP,UVERAL MEAT MARKET & GR,2558,GRAND CONCOURSE,,,BRONX,NY,10458,0,POINT (-73.8959 40.86381)
Kings,749356,Store,A,GB LICENSE LLC,GOPUFF 554,835,BROADWAY,,,BROOKLYN,NY,11206,2000,POINT (-73.93905 40.69913)
Washington,749325,Store,JAC,BRIDGEAVE SUPER MART INC,BRIDGEAVE SUPER MART,185,BROADWAY,,,WHITEHALL,NY,12887,0,POINT (-73.40559 43.54822)
Kings,749313,Store,A,XING LONG FA INC,XING LONG FA,1539,PITKIN AVENUE,,,BROOKLYN,NY,11212,2000,POINT (-73.9167 40.66881)
Queens,749243,Store,JAC,JOO YOUNG CHUN,JS MANAGEMENT,21-15,BROADWAY,,,ASTORIA,NY,11106,0,POINT (-73.93106 40.76488)
Madison,749225,Store,JAC,BOWMAN NICKY,NEW WOODSTOCK MARKET,2092,MAIN STREET,,,NEW WOODSTOCK,NY,13122,2000,POINT (-75.85664 42.84819)
Delaware,749194,Store,A,TAY TEA LLC,TAY TEA SHOP AND GIFTS,159,MAIN STREET,,,DELHI,NY,13753,500,POINT (-74.91325 42.2799)
Richmond,749178,Store,JAC,BEAMS FAMILY DELI  INC,BEAMS FAMILY DELI,348,BROADWAY,,,STATEN ISLAND,NY,10310,0,POINT (-74.11685 40.63279)
Kings,749163,Store,JAB,WINNER BK LLC,WINNER BK,367,7TH AVENUE,,,BROOKLYN,NY,11215,2000,POINT (-73.98251 40.66579)
Steuben,749161,Store,JAC,BRIDGET D BURKE,AUNT BRIDGET'S KITCHEN,31,MAIN STREET,,,ADDISON,NY,14801,1000,POINT (-77.23395 42.10626)
Suffolk,749151,Store,JAC,SAYVILLE CHEESE LLC,SAYVILLE CHEESE,110,MAIN STREET,,,SAYVILLE,NY,11782,255,POINT (-73.08397 40.73516)
Kings,749105,Store,JAC,TASTE RITE BAKERY LLC,TASTE RITE BAKERY,4723,CHURCH AVENUE,,,BROOKLYN,NY,11203,2500,POINT (-73.93248 40.65163)
New York,749070,Store,JAC,SUPER DELI MARKET CORP,SUPER DELI MARKET,4500,BROADWAY,,,NEW YORK,NY,10040,2000,POINT (-73.93201 40.85794)
New York,749039,Store,JAC,3345 BROADWAY DELI & GROCERY INC,3345 BROADWAY DELI & GR,3345,BROADWAY,,,NEW YORK,NY,10031,2200,POINT (-73.9549 40.82051)
