the_geom,OBJECTID,LOC,Borough,Street_Nam,From_Stree,To_Street,Index,May07_AM,May07_PM,May07_MD,Sept07_AM,Sept07_PM,Sept07_MD,May08_AM,May08_PM,May08_MD,Sept08_AM,Sept08_PM,Sept08_MD,May09_AM,May09_PM,May09_MD,Sept09_AM,Sept09_PM,Sept09_MD,May10_AM,May10_PM,May10_MD,Sept10_AM,Sept10_PM,Sept10_MD,May11_AM,May11_PM,May11_MD,Sept11_AM,Sept11_PM,Sept11_MD,May12_AM,May12_PM,May12_MD,Sept12_AM,Sept12_PM,Sept12_MD,May13_AM,May13_PM,May13_MD,Sept13_AM,Sept13_PM,Sept13_MD,May14_AM,May14_PM,May14_MD,Sept14_AM,Sept14_PM,Sept14_MD,May15_AM,May15_PM,May15_MD,Sept15_AM,Sept15_PM,Sept15_MD,May16_AM,May16_PM,May16_MD,Sept16_AM,Sept16_PM,Sept16_MD,May17_AM,May17_PM,May17_MD,Sept17_AM,Sept17_PM,Sept17_MD,May18_AM,May18_PM,May18_MD,Sept18_AM,Sept18_PM,Sept18_MD,May19_AM,May19_PM,May19_MD,Oct20_AM,Oct20_PM,Oct20_MD,May21_AM,May21_PM,May21_MD,Oct21_AM,Oct21_PM,Oct21_MD,May22_AM,May22_pM,May22_MD,Oct22_AM,Oct22_PM,Oct22_MD
POINT (-73.95802234844946 40.717557377707735),14,14,Brooklyn,Bedford Avenue,North 7th Street,North 6th Street,Y,1852.0,4462.0,3432.0,1875.0,3619.0,3254.0,1823.0,4299.0,3526.0,1951.0,4778.0,4048.0,1544,5501,4110,2001.0,5136.0,4045.0,2179,5234,4727,1773,5090,4184,2434,6391,5872,2109,5692,3690,2817,4144,5649,1984,6429,5619,2300,6527,6351,2593,6261,5405,2585,6453,4951,3463,7600,5494,2765,7266,4585,2714,6300,4630,2621,6058,5038,3410,8301,5014,2930,8736,6209,2566,6127,3572,2938,7961,4897,3234,7524,7034,3120.0,8882.0,5323.0,1224.0,4210.0,4297.0,1708.0,4472.0,3315.0,2471.0,5750.0,4804.0,2657.0,7338.0,5603.0,3033,7532,4772
POINT (-73.96276340616195 40.57732714149917),15,15,Brooklyn,Brighton Beach Avenue,Brighton 4th Street,Brighton 5th Street,Y,1204.0,5968.0,5178.0,1215.0,6095.0,5230.0,2002.0,7419.0,7729.0,1828.0,6420.0,5920.0,1411,6106,5935,1537.0,5590.0,6140.0,1332,5744,4994,1489,6080,5098,1427,5859,4093,1608,5520,5463,1183,3189,4868,1447,5272,5747,1515,5960,5442,1424,6068,5397,1596,6037,4804,1752,6397,4453,1368,6314,4918,1687,5859,5431,1471,5257,5266,1531,5930,5092,1791,6544,4502,1575,5315,4827,1566,6064,4686,1048,5788,4451,1262.0,5598.0,4989.0,716.0,4504.0,3670.0,967.0,4644.0,2524.0,1093.0,4087.0,3572.0,1128.0,4587.0,3462.0,1189,4972,4357
POINT (-73.94908133692475 40.650831467717424),16,16,Brooklyn,Church Avenue,Nostrand Avenue,East 31st Street,Y,2105.0,4562.0,1703.0,2267.0,4737.0,2517.0,1681.0,3702.0,2147.0,2290.0,3962.0,2015.0,2086,4620,1971,2045.0,4470.0,1885.0,2040,4764,2533,2265,4908,2894,2309,4858,2628,2151,4220,1927,1268,1113,3157,1966,4452,2540,2557,4871,3267,3074,6095,3235,2453,5196,2016,2792,4516,2768,1925,4137,2528,1680,4884,2375,2084,3832,2282,2024,4229,2040,2441,3888,2533,2213,3864,2368,2102,4744,2435,1958,4422,2258,1710.0,4259.0,2404.0,,,,964.0,2442.0,1735.0,1293.0,3135.0,1987.0,1359.0,3139.0,1838.0,1316,3278,1827
POINT (-73.96573732115321 40.64062739307868),17,17,Brooklyn,Cortelyou Road,Argyle Road,Rugby Road,N,1708.0,2459.0,1233.0,1324.0,2495.0,1431.0,1756.0,1952.0,1317.0,2014.0,2704.0,1961.0,1762,2478,1553,1856.0,2345.0,1533.0,2110,2977,1731,2587,2997,1809,2195,3492,1883,2489,3097,1823,2120,2381,1854,2295,3066,1755,2060,2936,1938,1743,2692,1543,1828,3007,1694,1876,2878,1486,1880,3042,1544,1608,2762,2439,2074,2634,1939,2570,2747,3234,2052,3015,1712,2598,3427,2107,2056,2855,2190,2200,2625,1512,,,,772.0,2072.0,2469.0,1299.0,1798.0,1252.0,2128.0,2336.0,1243.0,1647.0,2731.0,1629.0,2001,2751,1450
POINT (-73.99249336775775 40.68942537824676),18,18,Brooklyn,Court Street,Atlantic Avenue,Pacific Street,Y,1910.0,3716.0,3013.0,1920.0,3508.0,2293.0,1590.0,3486.0,2319.0,1763.0,3553.0,2540.0,1727,4225,2863,1223.0,2992.0,2640.0,1573,4214,2662,1659,4621,3028,2320,4597,3887,2096,3915,4100,1740,2405,3274,1932,4402,3863,1687,5174,3605,1952,5266,3787,1844,4426,4856,2126,4943,4048,1761,4714,7496,1987,5846,3163,2003,5309,4003,2308,4503,3170,2347,5287,4713,2341,5129,3671,2070,4247,3937,1925,3822,3236,1901.0,6108.0,4510.0,1017.0,2672.0,2464.0,1284.0,3320.0,2448.0,1819.0,4359.0,3642.0,1623.0,4256.0,3231.0,1694,3801,3771
POINT (-73.96818725047231 40.67292523719001),19,19,Brooklyn,Eastern Parkway,Plaza Street East,Underhill Avenue,Y,739.0,1572.0,2534.0,543.0,1152.0,1027.0,643.0,1367.0,2999.0,785.0,1274.0,1759.0,629,880,2408,755.0,1496.0,3102.0,577,1647,2951,812,1695,2738,412,1792,4699,525,1094,2670,571,1133,2024,1228,1623,1842,970,2269,4276,752,2010,3458,687,2127,3828,1026,1931,2565,824,1884,2511,995,2042,3333,1037,2601,2078,1161,2381,3082,1217,2749,2205,1424,2276,2670,971,1750,4437,1009,2062,3147,980.0,2047.0,3111.0,585.0,1734.0,2283.0,992.0,2330.0,2385.0,986.0,2816.0,3333.0,1005.0,2667.0,2655.0,0,1912,3730
POINT (-73.9214952312361 40.6089208214552),20,20,Brooklyn,Flatbush Avenue,Avenue U,Avenue V,N,329.0,1770.0,1355.0,276.0,1414.0,1036.0,254.0,1401.0,1473.0,286.0,2034.0,1238.0,251,1243,1251,436.0,1573.0,1398.0,424,1731,1563,214,1155,989,269,1083,1283,184,1079,870,197,1071,1765,347,1554,1757,312,1827,2077,307,1219,2014,325,1618,1919,273,1622,1500,453,1661,1523,317,1420,1254,238,816,1449,372,2698,1487,386,1792,1387,236,999,939,274,1505,1306,320,1361,1159,,,,165.0,1367.0,1252.0,256.0,1431.0,1079.0,302.0,1564.0,1160.0,358.0,1628.0,1337.0,273,1975,1447
POINT (-73.95882184227794 40.65081053674954),21,21,Brooklyn,Flatbush Avenue,Martense Street,Church Avenue,Y,978.0,5240.0,5106.0,917.0,4188.0,3097.0,772.0,3181.0,2023.0,1101.0,5312.0,2351.0,795,5640,1985,1029.0,4897.0,3047.0,1311,4775,2678,1186,4813,4735,837,3982,2197,978,4959,3917,605,482,1855,1011,4044,3530,1068,4481,3463,1046,4091,3695,912,4854,2505,960,3974,2338,858,3832,3665,1001,4588,3058,1280,3936,3960,1037,4115,2642,903,3955,3370,1032,4343,2716,1169,4352,3516,896,3665,3299,1216.0,5613.0,4416.0,479.0,2576.0,2102.0,626.0,2617.0,2052.0,847.0,2680.0,2222.0,703.0,2789.0,2446.0,820,2927,2313
POINT (-73.97390965382397 40.679186993134785),22,22,Brooklyn,Flatbush Avenue,St. Marks Avenue,Prospect Place,N,497.0,1413.0,1478.0,547.0,1095.0,1191.0,477.0,1675.0,1211.0,582.0,1645.0,1204.0,544,1499,1378,539.0,1568.0,1223.0,584,1462,1787,529,1616,1168,566,1794,1568,513,1909,1336,1435,1672,2007,645,1723,1727,527,2083,2233,759,2257,1631,631,1795,1920,729,1660,1583,699,2090,1699,685,2542,1486,714,2244,1524,808,2407,1461,895,2459,1794,882,2678,1380,839,2224,2618,697,2098,2091,,,,498.0,1714.0,1678.0,527.0,1886.0,1236.0,684.0,1872.0,1626.0,621.0,1942.0,1567.0,693,2166,1729
POINT (-73.98588670734839 40.69087186438648),23,23,Brooklyn,Fulton Street,Lawrence Street,Bridge Street,Y,1478.0,12249.0,7411.0,1803.0,14617.0,8643.0,1789.0,15733.0,5051.0,1673.0,9081.0,6790.0,1548,11949,6307,1330.0,11540.0,7892.0,1209,9358,7390,1271,10239,6091,1507,9556,6993,1507,8732,5690,1431,4254,3267,1791,9605,6033,1858,11211,6932,1981,11392,6045,1865,10265,6022,2014,11906,5999,2006,11648,7232,1671,10164,5037,2045,10872,6656,2289,10775,6572,1785,9793,6073,2003,11406,6445,1927,8871,6617,1935,9704,5455,1952.0,11619.0,6514.0,875.0,5336.0,3863.0,956.0,4438.0,4426.0,1424.0,6394.0,5088.0,1200.0,7338.0,4868.0,1415,7814,4465
POINT (-73.94255463338305 40.703408264633794),24,24,Brooklyn,Graham Avenue,Moore Street,Varet Street,Y,864.0,3732.0,2863.0,854.0,3322.0,3785.0,740.0,3066.0,2552.0,793.0,2814.0,3020.0,1025,4689,3161,734.0,3071.0,2370.0,867,2880,2940,885,2710,2807,882,4629,2751,1031,4959,1953,886,2172,607,995,4250,4025,818,4435,4035,905,3921,3626,995,4051,4952,944,4006,3491,742,3493,3812,477,2506,2305,742,3431,3438,855,2526,2459,845,3061,3576,1004,4347,1833,724,3197,3287,788,2669,3261,518.0,3124.0,3233.0,386.0,2440.0,2398.0,407.0,2335.0,2102.0,614.0,2333.0,2315.0,500.0,2373.0,2238.0,446,1911,2085
POINT (-73.9446668043415 40.71156922033028),25,25,Brooklyn,Grand Street,Manhattan Avenue,Graham Avenue,N,401.0,1772.0,1305.0,918.0,3090.0,1893.0,359.0,1063.0,729.0,488.0,1106.0,1392.0,316,980,817,365.0,1468.0,1303.0,495,1563,1326,593,1446,1304,316,1433,1228,554,2174,1199,465,829,1352,411,1249,1117,479,1596,1655,526,1571,1280,632,1857,1680,573,1537,1363,487,1446,1233,725,2294,1193,665,2094,1235,746,2573,1146,790,2787,965,606,2013,1029,357,1373,1310,433,1086,1301,,,,192.0,924.0,823.0,336.0,1321.0,927.0,494.0,1377.0,899.0,392.0,1320.0,907.0,372,1130,1005
POINT (-73.98727479290567 40.69272414021879),26,26,Brooklyn,Jay Street,Willoughby Street,Metrotech Walk,Y,1946.0,3552.0,3066.0,3280.0,6321.0,1478.0,2636.0,5102.0,1024.0,2770.0,4956.0,1435.0,2519,5538,1383,2856.0,3665.0,962.0,3201,8284,2572,2384,3781,1496,2259,3458,1530,3240,4962,1756,2850,3362,2432,4210,7426,2605,3758,6695,2367,3960,6873,1852,2846,5959,2379,2439,4358,1863,4151,6908,2361,2212,4245,895,2556,4267,1582,3598,5068,2635,3166,6533,2455,4338,7010,2353,2994,5323,2562,3887,5466,2025,3212.0,5886.0,1765.0,1028.0,1808.0,860.0,,,,,,,,,,ND,ND,ND
POINT (-73.95959352755617 40.608201460936),27,27,Brooklyn,Kings Highway,East 13th Street,East 14th Street,N,1368.0,4727.0,2866.0,887.0,3524.0,2125.0,1382.0,4287.0,2699.0,1541.0,5990.0,3059.0,1156,5009,3390,1766.0,5651.0,3174.0,1507,5041,2966,1479,5117,2562,1980,5447,2886,2126,5995,3610,1476,3426,1996,1744,5673,2766,1552,5581,2585,2397,6054,3471,1512,4987,2657,1636,5081,2890,1653,4708,2592,1417,4755,2543,1718,4984,2680,1707,4512,2387,1908,5716,2655,1903,5017,2548,1981,5591,2649,2230,5364,2967,,,,,,,1266.0,3716.0,2007.0,1503.0,3436.0,2112.0,1589.0,4350.0,2174.0,1589,4749,2600
POINT (-73.99336426671383 40.694534861508515),28,28,Brooklyn,Montague Street,Henry Street,Clinton Street,Y,1476.0,4567.0,2914.0,1438.0,4231.0,2842.0,1363.0,4318.0,2863.0,1547.0,3762.0,3672.0,1202,4089,3078,1249.0,3849.0,2520.0,1393,3896,3660,1365,5372,2802,1374,5441,3659,1595,4564,3754,1496,2920,3453,1482,4532,4419,1251,4861,3189,1247,3998,2795,1389,4766,2946,1235,3737,2920,1404,4932,3042,1501,4284,2182,1283,4017,3510,1577,3695,2156,1541,3588,3232,1519,4121,3219,1572,3732,3240,1563,3838,2738,1508.0,4199.0,3330.0,800.0,2190.0,1901.0,987.0,2228.0,1916.0,1103.0,2685.0,2085.0,1155.0,2488.0,2471.0,846,2705,2548
